"Professor","Quality","Difficulty","Class","Comments","Positve Sentiment Score","Label","","","","","","","","","","","","","","","","","","","","","",""
"Artola, Paul","5.0","1.0","CMSC203","Very clear in what he says and is very approachable. Kind of funny sometimes. Tries to be engaging although the topics he covers can often be pretty boring, but, for me at least, the content was eas","0.432378565143818","neg","","","","","","","","","","","","","","","","","","","","","",""
"Artola, Paul","1.5","1.0","CMSC203","Kind of funny, but mostly boring. He just reads a UMass Boston professor's lecture notes to the class for an hour and a half and calls it a day. Doesn't seem to care too much about teaching. Not too horrible if you're stuck with him, but there are much better profs for this course.","0.222076912292795","neg","","","","","","","","","","","","","","","","","","","","","",""
"Artola, Paul","3.0","3.0","CMSC203","I thought he went through the material too fast. He assumed that we had all covered a lot of this stuff previously, but before his class I had never done truth tables or sets or logic, so he didn't explain it all clearly enough for me. It wasn't a hard class though. Pretty easy for CMSC majors. I'm a math major tho so it wasn't quite as easy.","0.238325341642934","neg","","","","","","","","","","","","","","","","","","","","","",""
"Artola, Paul","3.5","2.0","CMSC203","The class is very boring. he drops a lot of stuff. easy to get a B in class without much effor but make sure you understand the material, you will need it in 313 and 341.","0.307188727935048","neg","","","","","","","","","","","","","","","","","","","","","",""
"Artola, Paul","3.0","3.0","CSMSC203","To elaborate a bit more... He does drop the lowest scores out of hw, tests, and group assignments. Alt. - his attendance scoring seems rather arbitrary throughout the years. Best advice - just study past tests, memorize how to do it his way, and you should be OK! Otherwise, don't think you're right if you answer isn't solved using his approach.","0.430304990793963","neg","","","","","","","","","","","","","","","","","","","","","",""
"Artola, Paul","4.5","3.0","CMSC202","Just to revise my previous post: althoug there are 4hws,3inclasses,and 3 tests, you can drop the lowest of each leaving only 3 hws, 2 inclasses and 2 tests factored into your grade","0.271984881722134","neg","","","","","","","","","","","","","","","","","","","","","",""
"Artola, Paul","4.5","3.0","CMSC203","I sware he looks like peter from Family guy , Clearly explains what you need to know and has all old exams available to students. All you need to do is the old exams and your set , but the theories / theroms are kind of hard but hey there is a curve","0.388796063196212","neg","","","","","","","","","","","","","","","","","","","","","",""
"Artola, Paul","4.0","3.0","CMSC203","I've had much worse. He's funny, entertaining, and helpful, and makes a daunting class a lot more tolerable. I just wish he'd teach Math and Stat.","0.458517113051209","neg","","","","","","","","","","","","","","","","","","","","","",""
"Artola, Paul","4.5","1.0","CMSC203","You have to be an idiot not to pass his class. He hand feeds to everything you need to know. Just pay attention sometimes. Likeable, positive, easy-going man.","0.468589534912211","neg","","","","","","","","","","","","","","","","","","","","","",""
"Artola, Paul","5.0","2.0","CMSC203","This professor is probably the funniest professor of all time! He makes jokes out of nowhere. I really recomend him for all of you taking(or will take) computer science. He makes everything easy to understand.Looks:he looked like the dad in &quot;Family","0.462647246947927","neg","","","","","","","","","","","","","","","","","","","","","",""
"Bergeron, Ryan","1.0","2.0","CMSC202","Not professional. Strays off topic often, not articulate. Lectures are very disorganized, and the slides are ripped off the java textbook. Exams require hard memorization of java definitions.","0.372571459930028","neg","","","","","","","","","","","","","","","","","","","","","",""
"Bergeron, Ryan","1.0","1.0","CMSC202","Average professor at best. Teaching style consists of a class discussion, which is useless since most students don't know the material ahead of time. Strays off topic often, likes to talk about video games during class. Would not recommend.","0.416755007819334","neg","","","","","","","","","","","","","","","","","","","","","",""
"Bergeron, Ryan","2.5","3.0","CMSC202","Makes things more complicated than they actually are. If you have to take this professor, don't get caught up on the tangents he explores. Most of it is irrelevant on the exams.","0.276069814341803","neg","","","","","","","","","","","","","","","","","","","","","",""
"Bergeron, Ryan","3.5","2.0","CMSC104","Overall, I recommend his class because he does help to understand the information. The one issue I had was sometimes I would raise my hand and he would see it but then go help someone else. Also, it's a boring class and most people don't pay attention. So when he asks someone a question he spends 10 minutes making them understand.","0.340788727730727","neg","","","","","","","","","","","","","","","","","","","","","",""
"Bergeron, Ryan","4.5","2.0","CMSC202","Go to class! Exams are exactly what is covered in class. Projects are pretty easy since I had Java in High School.","0.347650087735307","neg","","","","","","","","","","","","","","","","","","","","","",""
"Bergeron, Ryan","2.5","4.0","CMSC202","Death by PowerPoint. Most of the slides are ripped straight from Addison-Wesley's Java slides. Projects can be modified w/o due date extensions. Was not very responsive via email. Did not honor arrangements discussed during office hours. Associates well with the younger crowd, but otherwise borderline average.","0.416224916959615","neg","","","","","","","","","","","","","","","","","","","","","",""
"Bergeron, Ryan","4.5","2.0","CMSC202","Everyone seems to not like him very much or says he's a bad teacher, but I like him. He's a lot easier to talk to than some of the other professors and I learn a lot in his classes. That's why I'm taking 341H with him Fall 2010. How many other professors can you talk about MW2 or the Starcraft 2 beta with before class&#63;","0.325777202419442","neg","","","","","","","","","","","","","","","","","","","","","",""
"Block, Dawn","5.0","2.0","CMSC201","Had her for 104 and 201. She really made it easy to learn basic programming concepts. Tests were basically the study guides and were much easier than the homeworks (which weren't too difficult, but challenging sometimes). I definitely would recommend her if you need to take either course.","0.469071815615147","neg","","","","","","","","","","","","","","","","","","","","","",""
"Block, Dawn","5.0","2.0","CMSC201","The class can be a little boring if you go everyday and understand everything. The labs are very helpful in practicing each concept and I would definitely at least flip through the book from time to time. It proved very helpful. Ms. Block and the TAs were very helpful through email. They won't give you the answer but will send you in the right way","0.461046983947501","neg","","","","","","","","","","","","","","","","","","","","","",""
"Block, Dawn","5.0","1.0","CMSC104","Professor Block is absolutely Beautiful. She should be a news anchor or something. Honestly, attendance is not mandatory but I did go to all classes. Who wouldn't! She's cool AND hot AND knows computers.","0.483614805152539","neg","","","","","","","","","","","","","","","","","","","","","",""
"Casale, David","1.0","4.0","CMSC104","A truly horrible teacher","0.250836095852456","neg","","","","","","","","","","","","","","","","","","","","","",""
"Casale, David","1.5","5.0","CMSC104","Absolutely the worst, arrogant teacher ever. Does not explain anything, and when emailed, he doesn't reply. We use no text books and basically you're on your own for projects. Please do not make the mistake of taking him. He can make even the simplest thing a problem from hell. PLEASE DO NOT TAKE HIM.","0.120455430428098","neg","","","","","","","","","","","","","","","","","","","","","",""
"Casale, David","3.5","4.0","CMPE212","He is really funny. Read before lectures then go to class and you should understand everything. For me I just went to class and sometimes I was lost, but I would ask questions. Material builds upon itself so don't fall behind. Midterm was long so time yourself. Final was doable except the last design problem. Labs are easy. Homeworks take time.","0.231598723059848","neg","","","","","","","","","","","","","","","","","","","","","",""
"Casale, David","4.5","3.0","CMPE212","I don't get why some people don't like this guy. He's hilarious. His class is like comedy night. As for the actual material, he expects a lot from his students so be warned, it's not easy. You can afford to miss some classes so that's cool. His exams though, are mostly easy except for the last few design problems, so better get used to design probs","0.348652132404394","neg","","","","","","","","","","","","","","","","","","","","","",""
"Casale, David","1.0","5.0","CMPE212","do not recommend.","0.368434280509681","neg","","","","","","","","","","","","","","","","","","","","","",""
"Chang, Richard","2.5","5.0","CMSC202","He's a really smart guy and knows what he's talking about, so I think he just assumes we understand the material 100% when he explains it. His tests are really hard. There was no fill in the blank code on exams, the second part of the exam is just writing code. He puts up sample exams which are really similar to his actual exams, so study those.","0.323605412678229","neg","","","","","","","","","","","","","","","","","","","","","",""
